areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
ltla,Hastings,E07000062,2021-01-20,3,5282
ltla,Hastings,E07000062,2021-01-19,37,5279
ltla,Hastings,E07000062,2021-01-18,67,5242
ltla,Hastings,E07000062,2021-01-17,37,5175
ltla,Hastings,E07000062,2021-01-16,28,5138
ltla,Hastings,E07000062,2021-01-15,46,5110
ltla,Hastings,E07000062,2021-01-14,61,5064
ltla,Hastings,E07000062,2021-01-13,80,5003
ltla,Hastings,E07000062,2021-01-12,84,4923
ltla,Hastings,E07000062,2021-01-11,103,4839
ltla,Hastings,E07000062,2021-01-10,54,4736
ltla,Hastings,E07000062,2021-01-09,55,4682
ltla,Hastings,E07000062,2021-01-08,82,4627
ltla,Hastings,E07000062,2021-01-07,83,4545
ltla,Hastings,E07000062,2021-01-06,124,4462
ltla,Hastings,E07000062,2021-01-05,104,4338
ltla,Hastings,E07000062,2021-01-04,170,4234
ltla,Hastings,E07000062,2021-01-03,96,4064
ltla,Hastings,E07000062,2021-01-02,108,3968
ltla,Hastings,E07000062,2021-01-01,87,3860
ltla,Hastings,E07000062,2020-12-31,84,3773
ltla,Hastings,E07000062,2020-12-30,127,3689
ltla,Hastings,E07000062,2020-12-29,237,3562
ltla,Hastings,E07000062,2020-12-28,90,3325
ltla,Hastings,E07000062,2020-12-27,84,3235
ltla,Hastings,E07000062,2020-12-26,109,3151
ltla,Hastings,E07000062,2020-12-25,27,3042
ltla,Hastings,E07000062,2020-12-24,106,3015
ltla,Hastings,E07000062,2020-12-23,119,2909
ltla,Hastings,E07000062,2020-12-22,197,2790
ltla,Hastings,E07000062,2020-12-21,195,2593
ltla,Hastings,E07000062,2020-12-20,131,2398
ltla,Hastings,E07000062,2020-12-19,95,2267
ltla,Hastings,E07000062,2020-12-18,153,2172
ltla,Hastings,E07000062,2020-12-17,145,2019
ltla,Hastings,E07000062,2020-12-16,117,1874
ltla,Hastings,E07000062,2020-12-15,118,1757
ltla,Hastings,E07000062,2020-12-14,149,1639
ltla,Hastings,E07000062,2020-12-13,128,1490
ltla,Hastings,E07000062,2020-12-12,80,1362
ltla,Hastings,E07000062,2020-12-11,92,1282
ltla,Hastings,E07000062,2020-12-10,65,1190
ltla,Hastings,E07000062,2020-12-09,51,1125
ltla,Hastings,E07000062,2020-12-08,71,1074
ltla,Hastings,E07000062,2020-12-07,58,1003
ltla,Hastings,E07000062,2020-12-06,54,945
ltla,Hastings,E07000062,2020-12-05,30,891
ltla,Hastings,E07000062,2020-12-04,38,861
ltla,Hastings,E07000062,2020-12-03,42,823
ltla,Hastings,E07000062,2020-12-02,29,781
ltla,Hastings,E07000062,2020-12-01,27,752
ltla,Hastings,E07000062,2020-11-30,23,725
ltla,Hastings,E07000062,2020-11-29,5,702
ltla,Hastings,E07000062,2020-11-28,5,697
ltla,Hastings,E07000062,2020-11-27,12,692
ltla,Hastings,E07000062,2020-11-26,6,680
ltla,Hastings,E07000062,2020-11-25,11,674
ltla,Hastings,E07000062,2020-11-24,12,663
ltla,Hastings,E07000062,2020-11-23,14,651
ltla,Hastings,E07000062,2020-11-22,7,637
ltla,Hastings,E07000062,2020-11-21,9,630
ltla,Hastings,E07000062,2020-11-20,12,621
ltla,Hastings,E07000062,2020-11-19,12,609
ltla,Hastings,E07000062,2020-11-18,17,597
ltla,Hastings,E07000062,2020-11-17,16,580
ltla,Hastings,E07000062,2020-11-16,20,564
ltla,Hastings,E07000062,2020-11-15,13,544
ltla,Hastings,E07000062,2020-11-14,17,531
ltla,Hastings,E07000062,2020-11-13,15,514
ltla,Hastings,E07000062,2020-11-12,11,499
ltla,Hastings,E07000062,2020-11-11,11,488
ltla,Hastings,E07000062,2020-11-10,10,477
ltla,Hastings,E07000062,2020-11-09,16,467
ltla,Hastings,E07000062,2020-11-08,8,451
ltla,Hastings,E07000062,2020-11-07,11,443
ltla,Hastings,E07000062,2020-11-06,7,432
ltla,Hastings,E07000062,2020-11-05,5,425
ltla,Hastings,E07000062,2020-11-04,3,420
ltla,Hastings,E07000062,2020-11-03,8,417
ltla,Hastings,E07000062,2020-11-02,4,409
ltla,Hastings,E07000062,2020-11-01,6,405
ltla,Hastings,E07000062,2020-10-31,2,399
ltla,Hastings,E07000062,2020-10-30,3,397
ltla,Hastings,E07000062,2020-10-29,6,394
ltla,Hastings,E07000062,2020-10-28,5,388
ltla,Hastings,E07000062,2020-10-27,7,383
ltla,Hastings,E07000062,2020-10-26,9,376
ltla,Hastings,E07000062,2020-10-25,6,367
ltla,Hastings,E07000062,2020-10-24,5,361
ltla,Hastings,E07000062,2020-10-23,12,356
ltla,Hastings,E07000062,2020-10-22,6,344
ltla,Hastings,E07000062,2020-10-21,5,338
ltla,Hastings,E07000062,2020-10-20,4,333
ltla,Hastings,E07000062,2020-10-19,9,329
ltla,Hastings,E07000062,2020-10-18,4,320
ltla,Hastings,E07000062,2020-10-17,4,316
ltla,Hastings,E07000062,2020-10-16,5,312
ltla,Hastings,E07000062,2020-10-15,6,307
ltla,Hastings,E07000062,2020-10-14,7,301
ltla,Hastings,E07000062,2020-10-13,5,294
ltla,Hastings,E07000062,2020-10-12,3,289
ltla,Hastings,E07000062,2020-10-11,0,286
ltla,Hastings,E07000062,2020-10-10,5,286
ltla,Hastings,E07000062,2020-10-09,2,281
ltla,Hastings,E07000062,2020-10-08,10,279
ltla,Hastings,E07000062,2020-10-07,5,269
ltla,Hastings,E07000062,2020-10-06,10,264
ltla,Hastings,E07000062,2020-10-05,4,254
ltla,Hastings,E07000062,2020-10-04,3,250
ltla,Hastings,E07000062,2020-10-03,5,247
ltla,Hastings,E07000062,2020-10-02,4,242
ltla,Hastings,E07000062,2020-10-01,5,238
ltla,Hastings,E07000062,2020-09-30,9,233
ltla,Hastings,E07000062,2020-09-29,6,224
ltla,Hastings,E07000062,2020-09-28,6,218
ltla,Hastings,E07000062,2020-09-27,2,212
ltla,Hastings,E07000062,2020-09-26,4,210
ltla,Hastings,E07000062,2020-09-25,0,206
ltla,Hastings,E07000062,2020-09-24,2,206
ltla,Hastings,E07000062,2020-09-23,0,204
ltla,Hastings,E07000062,2020-09-22,2,204
ltla,Hastings,E07000062,2020-09-21,3,202
ltla,Hastings,E07000062,2020-09-20,2,199
ltla,Hastings,E07000062,2020-09-19,2,197
ltla,Hastings,E07000062,2020-09-18,1,195
ltla,Hastings,E07000062,2020-09-17,1,194
ltla,Hastings,E07000062,2020-09-16,0,193
ltla,Hastings,E07000062,2020-09-15,3,193
ltla,Hastings,E07000062,2020-09-14,0,190
ltla,Hastings,E07000062,2020-09-13,0,190
ltla,Hastings,E07000062,2020-09-12,1,190
ltla,Hastings,E07000062,2020-09-11,0,189
ltla,Hastings,E07000062,2020-09-10,0,189
ltla,Hastings,E07000062,2020-09-09,4,189
ltla,Hastings,E07000062,2020-09-08,3,185
ltla,Hastings,E07000062,2020-09-07,4,182
ltla,Hastings,E07000062,2020-09-06,0,178
ltla,Hastings,E07000062,2020-09-05,1,178
ltla,Hastings,E07000062,2020-09-04,4,177
ltla,Hastings,E07000062,2020-09-03,5,173
ltla,Hastings,E07000062,2020-09-02,0,168
ltla,Hastings,E07000062,2020-09-01,1,168
ltla,Hastings,E07000062,2020-08-31,0,167
ltla,Hastings,E07000062,2020-08-30,3,167
ltla,Hastings,E07000062,2020-08-29,0,164
ltla,Hastings,E07000062,2020-08-28,2,164
ltla,Hastings,E07000062,2020-08-27,1,162
ltla,Hastings,E07000062,2020-08-26,4,161
ltla,Hastings,E07000062,2020-08-25,3,157
ltla,Hastings,E07000062,2020-08-24,1,154
ltla,Hastings,E07000062,2020-08-23,0,153
ltla,Hastings,E07000062,2020-08-22,2,153
ltla,Hastings,E07000062,2020-08-21,4,151
ltla,Hastings,E07000062,2020-08-20,1,147
ltla,Hastings,E07000062,2020-08-19,1,146
ltla,Hastings,E07000062,2020-08-18,0,145
ltla,Hastings,E07000062,2020-08-17,0,145
ltla,Hastings,E07000062,2020-08-16,0,145
ltla,Hastings,E07000062,2020-08-15,0,145
ltla,Hastings,E07000062,2020-08-14,1,145
ltla,Hastings,E07000062,2020-08-13,1,144
ltla,Hastings,E07000062,2020-08-12,1,143
ltla,Hastings,E07000062,2020-08-11,0,142
ltla,Hastings,E07000062,2020-08-10,0,142
ltla,Hastings,E07000062,2020-08-09,0,142
ltla,Hastings,E07000062,2020-08-08,0,142
ltla,Hastings,E07000062,2020-08-07,0,142
ltla,Hastings,E07000062,2020-08-06,0,142
ltla,Hastings,E07000062,2020-08-05,0,142
ltla,Hastings,E07000062,2020-08-04,0,142
ltla,Hastings,E07000062,2020-08-03,0,142
ltla,Hastings,E07000062,2020-08-02,2,142
ltla,Hastings,E07000062,2020-08-01,0,140
ltla,Hastings,E07000062,2020-07-31,0,140
ltla,Hastings,E07000062,2020-07-30,0,140
ltla,Hastings,E07000062,2020-07-29,1,140
ltla,Hastings,E07000062,2020-07-28,1,139
ltla,Hastings,E07000062,2020-07-27,0,138
ltla,Hastings,E07000062,2020-07-26,0,138
ltla,Hastings,E07000062,2020-07-25,0,138
ltla,Hastings,E07000062,2020-07-24,1,138
ltla,Hastings,E07000062,2020-07-23,1,137
ltla,Hastings,E07000062,2020-07-22,1,136
ltla,Hastings,E07000062,2020-07-21,0,135
ltla,Hastings,E07000062,2020-07-20,0,135
ltla,Hastings,E07000062,2020-07-19,1,135
ltla,Hastings,E07000062,2020-07-18,0,134
ltla,Hastings,E07000062,2020-07-17,0,134
ltla,Hastings,E07000062,2020-07-16,1,134
ltla,Hastings,E07000062,2020-07-15,1,133
ltla,Hastings,E07000062,2020-07-14,0,132
ltla,Hastings,E07000062,2020-07-13,1,132
ltla,Hastings,E07000062,2020-07-12,0,131
ltla,Hastings,E07000062,2020-07-11,0,131
ltla,Hastings,E07000062,2020-07-10,0,131
ltla,Hastings,E07000062,2020-07-09,0,131
ltla,Hastings,E07000062,2020-07-08,0,131
ltla,Hastings,E07000062,2020-07-07,1,131
ltla,Hastings,E07000062,2020-07-06,1,130
ltla,Hastings,E07000062,2020-07-05,0,129
ltla,Hastings,E07000062,2020-07-04,0,129
ltla,Hastings,E07000062,2020-07-03,0,129
ltla,Hastings,E07000062,2020-07-02,0,129
ltla,Hastings,E07000062,2020-07-01,0,129
ltla,Hastings,E07000062,2020-06-30,0,129
ltla,Hastings,E07000062,2020-06-29,1,129
ltla,Hastings,E07000062,2020-06-28,0,128
ltla,Hastings,E07000062,2020-06-27,0,128
ltla,Hastings,E07000062,2020-06-26,1,128
ltla,Hastings,E07000062,2020-06-25,0,127
ltla,Hastings,E07000062,2020-06-24,0,127
ltla,Hastings,E07000062,2020-06-23,0,127
ltla,Hastings,E07000062,2020-06-22,0,127
ltla,Hastings,E07000062,2020-06-21,0,127
ltla,Hastings,E07000062,2020-06-20,0,127
ltla,Hastings,E07000062,2020-06-19,0,127
ltla,Hastings,E07000062,2020-06-18,0,127
ltla,Hastings,E07000062,2020-06-17,0,127
ltla,Hastings,E07000062,2020-06-16,0,127
ltla,Hastings,E07000062,2020-06-15,0,127
ltla,Hastings,E07000062,2020-06-14,0,127
ltla,Hastings,E07000062,2020-06-13,1,127
ltla,Hastings,E07000062,2020-06-12,0,126
ltla,Hastings,E07000062,2020-06-11,0,126
ltla,Hastings,E07000062,2020-06-10,0,126
ltla,Hastings,E07000062,2020-06-09,1,126
ltla,Hastings,E07000062,2020-06-08,1,125
ltla,Hastings,E07000062,2020-06-07,0,124
ltla,Hastings,E07000062,2020-06-06,0,124
ltla,Hastings,E07000062,2020-06-05,0,124
ltla,Hastings,E07000062,2020-06-04,1,124
ltla,Hastings,E07000062,2020-06-03,0,123
ltla,Hastings,E07000062,2020-06-02,1,123
ltla,Hastings,E07000062,2020-06-01,0,122
ltla,Hastings,E07000062,2020-05-31,0,122
ltla,Hastings,E07000062,2020-05-30,0,122
ltla,Hastings,E07000062,2020-05-29,1,122
ltla,Hastings,E07000062,2020-05-28,3,121
ltla,Hastings,E07000062,2020-05-27,2,118
ltla,Hastings,E07000062,2020-05-26,2,116
ltla,Hastings,E07000062,2020-05-25,0,114
ltla,Hastings,E07000062,2020-05-24,2,114
ltla,Hastings,E07000062,2020-05-23,0,112
ltla,Hastings,E07000062,2020-05-22,5,112
ltla,Hastings,E07000062,2020-05-21,2,107
ltla,Hastings,E07000062,2020-05-20,2,105
ltla,Hastings,E07000062,2020-05-19,1,103
ltla,Hastings,E07000062,2020-05-18,2,102
ltla,Hastings,E07000062,2020-05-17,2,100
ltla,Hastings,E07000062,2020-05-16,2,98
ltla,Hastings,E07000062,2020-05-15,0,96
ltla,Hastings,E07000062,2020-05-14,3,96
ltla,Hastings,E07000062,2020-05-13,6,93
ltla,Hastings,E07000062,2020-05-12,1,87
ltla,Hastings,E07000062,2020-05-11,0,86
ltla,Hastings,E07000062,2020-05-10,0,86
ltla,Hastings,E07000062,2020-05-09,0,86
ltla,Hastings,E07000062,2020-05-08,5,86
ltla,Hastings,E07000062,2020-05-07,2,81
ltla,Hastings,E07000062,2020-05-06,4,79
ltla,Hastings,E07000062,2020-05-05,2,75
ltla,Hastings,E07000062,2020-05-04,3,73
ltla,Hastings,E07000062,2020-05-03,3,70
ltla,Hastings,E07000062,2020-05-02,0,67
ltla,Hastings,E07000062,2020-05-01,1,67
ltla,Hastings,E07000062,2020-04-30,3,66
ltla,Hastings,E07000062,2020-04-29,2,63
ltla,Hastings,E07000062,2020-04-28,5,61
ltla,Hastings,E07000062,2020-04-27,2,56
ltla,Hastings,E07000062,2020-04-26,3,54
ltla,Hastings,E07000062,2020-04-25,2,51
ltla,Hastings,E07000062,2020-04-24,1,49
ltla,Hastings,E07000062,2020-04-23,3,48
ltla,Hastings,E07000062,2020-04-22,1,45
ltla,Hastings,E07000062,2020-04-21,1,44
ltla,Hastings,E07000062,2020-04-20,2,43
ltla,Hastings,E07000062,2020-04-19,0,41
ltla,Hastings,E07000062,2020-04-18,3,41
ltla,Hastings,E07000062,2020-04-17,1,38
ltla,Hastings,E07000062,2020-04-16,0,37
ltla,Hastings,E07000062,2020-04-15,0,37
ltla,Hastings,E07000062,2020-04-14,2,37
ltla,Hastings,E07000062,2020-04-13,3,35
ltla,Hastings,E07000062,2020-04-12,2,32
ltla,Hastings,E07000062,2020-04-11,1,30
ltla,Hastings,E07000062,2020-04-10,0,29
ltla,Hastings,E07000062,2020-04-09,1,29
ltla,Hastings,E07000062,2020-04-08,2,28
ltla,Hastings,E07000062,2020-04-07,2,26
ltla,Hastings,E07000062,2020-04-06,4,24
ltla,Hastings,E07000062,2020-04-05,1,20
ltla,Hastings,E07000062,2020-04-04,1,19
ltla,Hastings,E07000062,2020-04-03,2,18
ltla,Hastings,E07000062,2020-04-02,2,16
ltla,Hastings,E07000062,2020-04-01,3,14
ltla,Hastings,E07000062,2020-03-31,0,11
ltla,Hastings,E07000062,2020-03-30,0,11
ltla,Hastings,E07000062,2020-03-29,4,11
ltla,Hastings,E07000062,2020-03-28,1,7
ltla,Hastings,E07000062,2020-03-27,2,6
ltla,Hastings,E07000062,2020-03-26,2,4
ltla,Hastings,E07000062,2020-03-25,0,2
ltla,Hastings,E07000062,2020-03-24,1,2
ltla,Hastings,E07000062,2020-03-23,0,1
ltla,Hastings,E07000062,2020-03-22,0,1
ltla,Hastings,E07000062,2020-03-21,0,1
ltla,Hastings,E07000062,2020-03-20,0,1
ltla,Hastings,E07000062,2020-03-19,0,1
ltla,Hastings,E07000062,2020-03-18,0,1
ltla,Hastings,E07000062,2020-03-17,0,1
ltla,Hastings,E07000062,2020-03-16,1,1
